No,Player,DOB,Age,Date,Exercise,Volume,Year
1,Jordan Pickford,1994-03-07,24,2018-03-01,Chest Press,7,2018
1,Jordan Pickford,1994-03-07,24,2018-03-02,Chest Press,6,2018
1,Jordan Pickford,1994-03-07,24,2018-03-03,Chest Press,0,2018
1,Jordan Pickford,1994-03-07,24,2018-03-04,Chest Press,12,2018
1,Jordan Pickford,1994-03-07,24,2018-03-05,Chest Press,14,2018
1,Jordan Pickford,1994-03-07,24,2018-03-06,Chest Press,12,2018
1,Jordan Pickford,1994-03-07,24,2018-03-07,Chest Press,1,2018
1,Jordan Pickford,1994-03-07,24,2018-03-08,Chest Press,0,2018
1,Jordan Pickford,1994-03-07,24,2018-03-09,Chest Press,0,2018
1,Jordan Pickford,1994-03-07,24,2018-03-10,Chest Press,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-11,Chest Press,19,2018
1,Jordan Pickford,1994-03-07,24,2018-03-12,Chest Press,15,2018
1,Jordan Pickford,1994-03-07,24,2018-03-13,Chest Press,4,2018
1,Jordan Pickford,1994-03-07,24,2018-03-14,Chest Press,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-15,Chest Press,4,2018
1,Jordan Pickford,1994-03-07,24,2018-03-16,Chest Press,10,2018
1,Jordan Pickford,1994-03-07,24,2018-03-17,Chest Press,2,2018
1,Jordan Pickford,1994-03-07,24,2018-03-18,Chest Press,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-19,Chest Press,5,2018
1,Jordan Pickford,1994-03-07,24,2018-03-20,Chest Press,1,2018
1,Jordan Pickford,1994-03-07,24,2018-03-21,Chest Press,3,2018
1,Jordan Pickford,1994-03-07,24,2018-03-22,Chest Press,1,2018
1,Jordan Pickford,1994-03-07,24,2018-03-23,Chest Press,0,2018
1,Jordan Pickford,1994-03-07,24,2018-03-24,Chest Press,3,2018
1,Jordan Pickford,1994-03-07,24,2018-03-25,Chest Press,15,2018
1,Jordan Pickford,1994-03-07,24,2018-03-26,Chest Press,8,2018
1,Jordan Pickford,1994-03-07,24,2018-03-27,Chest Press,2,2018
1,Jordan Pickford,1994-03-07,24,2018-03-28,Chest Press,7,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-01,Chest Press,14,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-02,Chest Press,7,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-03,Chest Press,NA,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-04,Chest Press,17,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-05,Chest Press,14,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-06,Chest Press,12,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-07,Chest Press,6,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-08,Chest Press,13,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-09,Chest Press,13,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-10,Chest Press,8,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-11,Chest Press,2,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-12,Chest Press,20,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-13,Chest Press,3,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-14,Chest Press,13,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-15,Chest Press,15,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-16,Chest Press,14,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-17,Chest Press,5,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-18,Chest Press,NA,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-19,Chest Press,6,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-20,Chest Press,9,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-21,Chest Press,12,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-22,Chest Press,8,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-23,Chest Press,16,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-24,Chest Press,1,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-25,Chest Press,2,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-26,Chest Press,4,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-27,Chest Press,2,2018
2,Trent Alexander-Arnold,1998-10-07,20,2018-03-28,Chest Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-01,Chest Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-02,Chest Press,12,2018
3,Danny Rose,1990-07-02,28,2018-03-03,Chest Press,1,2018
3,Danny Rose,1990-07-02,28,2018-03-04,Chest Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-05,Chest Press,8,2018
3,Danny Rose,1990-07-02,28,2018-03-06,Chest Press,11,2018
3,Danny Rose,1990-07-02,28,2018-03-07,Chest Press,9,2018
3,Danny Rose,1990-07-02,28,2018-03-08,Chest Press,8,2018
3,Danny Rose,1990-07-02,28,2018-03-09,Chest Press,11,2018
3,Danny Rose,1990-07-02,28,2018-03-10,Chest Press,16,2018
3,Danny Rose,1990-07-02,28,2018-03-11,Chest Press,6,2018
3,Danny Rose,1990-07-02,28,2018-03-12,Chest Press,18,2018
3,Danny Rose,1990-07-02,28,2018-03-13,Chest Press,17,2018
3,Danny Rose,1990-07-02,28,2018-03-14,Chest Press,14,2018
3,Danny Rose,1990-07-02,28,2018-03-15,Chest Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-16,Chest Press,3,2018
3,Danny Rose,1990-07-02,28,2018-03-17,Chest Press,5,2018
3,Danny Rose,1990-07-02,28,2018-03-18,Chest Press,4,2018
3,Danny Rose,1990-07-02,28,2018-03-19,Chest Press,13,2018
3,Danny Rose,1990-07-02,28,2018-03-20,Chest Press,1,2018
3,Danny Rose,1990-07-02,28,2018-03-21,Chest Press,0,2018
3,Danny Rose,1990-07-02,28,2018-03-22,Chest Press,3,2018
3,Danny Rose,1990-07-02,28,2018-03-23,Chest Press,NA,2018
3,Danny Rose,1990-07-02,28,2018-03-24,Chest Press,7,2018
3,Danny Rose,1990-07-02,28,2018-03-25,Chest Press,4,2018
3,Danny Rose,1990-07-02,28,2018-03-26,Chest Press,18,2018
3,Danny Rose,1990-07-02,28,2018-03-27,Chest Press,3,2018
3,Danny Rose,1990-07-02,28,2018-03-28,Chest Press,17,2018
4,Kyle Walker,1990-05-28,28,2018-03-01,Chest Press,5,2018
4,Kyle Walker,1990-05-28,28,2018-03-02,Chest Press,0,2018
4,Kyle Walker,1990-05-28,28,2018-03-03,Chest Press,12,2018
4,Kyle Walker,1990-05-28,28,2018-03-04,Chest Press,9,2018
4,Kyle Walker,1990-05-28,28,2018-03-05,Chest Press,NA,2018
4,Kyle Walker,1990-05-28,28,2018-03-06,Chest Press,4,2018
4,Kyle Walker,1990-05-28,28,2018-03-07,Chest Press,14,2018
4,Kyle Walker,1990-05-28,28,2018-03-08,Chest Press,8,2018
4,Kyle Walker,1990-05-28,28,2018-03-09,Chest Press,14,2018
