No,Player,DOB,Age,Date,Exercise,Volume,Year
1,Jordan Pickford,1994-03-07,24,2018-03-01,Hanging Leg Raise,20,2018
1,Jordan Pickford,1994-03-07,24,2018-03-02,Hanging Leg Raise,12,2018
1,Jordan Pickford,1994-03-07,24,2018-03-03,Hanging Leg Raise,3,2018
1,Jordan Pickford,1994-03-07,24,2018-03-04,Hanging Leg Raise,3,2018
1,Jordan Pickford,1994-03-07,24,2018-03-05,Hanging Leg Raise,7,2018
1,Jordan Pickford,1994-03-07,24,2018-03-06,Hanging Leg Raise,12,2018
1,Jordan Pickford,1994-03-07,24,2018-03-07,Hanging Leg Raise,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-08,Hanging Leg Raise,3,2018
1,Jordan Pickford,1994-03-07,24,2018-03-09,Hanging Leg Raise,6,2018
1,Jordan Pickford,1994-03-07,24,2018-03-10,Hanging Leg Raise,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-11,Hanging Leg Raise,2,2018
1,Jordan Pickford,1994-03-07,24,2018-03-12,Hanging Leg Raise,2,2018
1,Jordan Pickford,1994-03-07,24,2018-03-13,Hanging Leg Raise,16,2018
1,Jordan Pickford,1994-03-07,24,2018-03-14,Hanging Leg Raise,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-15,Hanging Leg Raise,7,2018
1,Jordan Pickford,1994-03-07,24,2018-03-16,Hanging Leg Raise,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-17,Hanging Leg Raise,18,2018
1,Jordan Pickford,1994-03-07,24,2018-03-18,Hanging Leg Raise,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-19,Hanging Leg Raise,7,2018
1,Jordan Pickford,1994-03-07,24,2018-03-20,Hanging Leg Raise,14,2018
1,Jordan Pickford,1994-03-07,24,2018-03-21,Hanging Leg Raise,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-22,Hanging Leg Raise,20,2018
