No,Player,DOB,Age,Date,Exercise,Volume,Year
1,Jordan Pickford,1994-03-07,24,2018-03-01,Lat Pull-Down,15,2018
1,Jordan Pickford,1994-03-07,24,2018-03-02,Lat Pull-Down,5,2018
1,Jordan Pickford,1994-03-07,24,2018-03-03,Lat Pull-Down,13,2018
1,Jordan Pickford,1994-03-07,24,2018-03-04,Lat Pull-Down,18,2018
1,Jordan Pickford,1994-03-07,24,2018-03-05,Lat Pull-Down,6,2018
1,Jordan Pickford,1994-03-07,24,2018-03-06,Lat Pull-Down,10,2018
1,Jordan Pickford,1994-03-07,24,2018-03-07,Lat Pull-Down,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-08,Lat Pull-Down,19,2018
1,Jordan Pickford,1994-03-07,24,2018-03-09,Lat Pull-Down,19,2018
1,Jordan Pickford,1994-03-07,24,2018-03-10,Lat Pull-Down,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-11,Lat Pull-Down,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-12,Lat Pull-Down,10,2018
1,Jordan Pickford,1994-03-07,24,2018-03-13,Lat Pull-Down,19,2018
1,Jordan Pickford,1994-03-07,24,2018-03-14,Lat Pull-Down,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-15,Lat Pull-Down,5,2018
1,Jordan Pickford,1994-03-07,24,2018-03-16,Lat Pull-Down,5,2018
1,Jordan Pickford,1994-03-07,24,2018-03-17,Lat Pull-Down,0,2018
1,Jordan Pickford,1994-03-07,24,2018-03-18,Lat Pull-Down,NA,2018
1,Jordan Pickford,1994-03-07,24,2018-03-19,Lat Pull-Down,16,2018
1,Jordan Pickford,1994-03-07,24,2018-03-20,Lat Pull-Down,14,2018
1,Jordan Pickford,1994-03-07,24,2018-03-21,Lat Pull-Down,18,2018
1,Jordan Pickford,1994-03-07,24,2018-03-22,Lat Pull-Down,13,2018
1,Jordan Pickford,1994-03-07,24,2018-03-23,Lat Pull-Down,2,2018
1,Jordan Pickford,1994-03-07,24,2018-03-24,Lat Pull-Down,17,2018
1,Jordan Pickford,1994-03-07,24,2018-03-25,Lat Pull-Down,14,2018
1,Jordan Pickford,1994-03-07,24,2018-03-26,Lat Pull-Down,4,2018
1,Jordan Pickford,1994-03-07,24,2018-03-27,Lat Pull-Down,10,2018
1,Jordan Pickford,1994-03-07,24,2018-03-28,Lat Pull-Down,3,2018
